event_type,days_before_entry,post_event_day,n_events,avg_return_pct,median_return_pct,win_rate_pct,avg_return_rs,is_best
BOARD_MEETING,6,6,13308,1.176,0.396,52.112,6.703,False
BOARD_MEETING,6,7,13298,1.259,0.452,52.241,7.925,False
BOARD_MEETING,6,8,13294,1.355,0.441,52.136,8.128,False
BOARD_MEETING,7,1,13356,0.82,0.338,51.909,6.738,False
BOARD_MEETING,7,2,13346,0.901,0.323,52.061,6.703,False
BOARD_MEETING,7,3,13332,1.0,0.432,52.43,7.144,False
BOARD_MEETING,7,4,13324,1.111,0.382,51.921,7.052,False
BOARD_MEETING,7,5,13313,1.182,0.422,52.047,7.862,False
BOARD_MEETING,7,6,13305,1.253,0.415,52.131,7.705,False
BOARD_MEETING,7,7,13295,1.335,0.495,52.313,8.929,False
BOARD_MEETING,7,8,13291,1.432,0.503,52.419,9.128,False
BOARD_MEETING,8,1,13351,0.88,0.349,52.146,6.744,False
BOARD_MEETING,8,2,13341,0.958,0.419,52.29,6.721,False
BOARD_MEETING,8,3,13327,1.058,0.472,52.3,7.173,False
BOARD_MEETING,8,4,13319,1.169,0.422,52.151,7.076,False
BOARD_MEETING,8,5,13308,1.239,0.438,52.314,7.884,False
BOARD_MEETING,8,6,13300,1.31,0.448,51.962,7.731,False
BOARD_MEETING,8,7,13290,1.391,0.504,52.415,8.948,False
BOARD_MEETING,8,8,13286,1.486,0.52,52.469,9.143,True
CORPORATE_ACTION,1,1,7347,0.275,0.185,52.661,1.949,False
CORPORATE_ACTION,1,2,7341,0.38,0.239,52.704,1.083,False
CORPORATE_ACTION,1,3,7335,0.512,0.284,52.883,0.274,False
CORPORATE_ACTION,1,4,7332,0.634,0.38,53.505,-1.145,False
CORPORATE_ACTION,1,5,7328,0.72,0.414,53.521,0.638,False
CORPORATE_ACTION,1,6,7327,0.828,0.457,53.255,-0.391,False
CORPORATE_ACTION,1,7,7323,0.917,0.578,53.981,1.269,False
CORPORATE_ACTION,1,8,7320,0.99,0.714,54.577,2.068,False
CORPORATE_ACTION,2,1,7347,0.392,0.246,52.62,3.17,False
CORPORATE_ACTION,2,2,7341,0.497,0.266,52.827,2.339,False
CORPORATE_ACTION,2,3,7335,0.629,0.392,53.456,1.52,False
CORPORATE_ACTION,2,4,7332,0.751,0.526,54.337,0.086,False
CORPORATE_ACTION,2,5,7328,0.835,0.562,54.285,1.867,False
CORPORATE_ACTION,2,6,7327,0.947,0.547,54.129,0.849,False
CORPORATE_ACTION,2,7,7323,1.035,0.624,54.199,2.49,False
CORPORATE_ACTION,2,8,7320,1.109,0.716,54.467,3.207,False
CORPORATE_ACTION,3,1,7346,0.546,0.403,54.138,4.812,False
CORPORATE_ACTION,3,2,7340,0.65,0.461,53.828,3.978,False
CORPORATE_ACTION,3,3,7334,0.784,0.516,54.295,3.142,False
CORPORATE_ACTION,3,4,7331,0.906,0.642,55.149,1.713,False
CORPORATE_ACTION,3,5,7327,0.992,0.653,54.511,3.491,False
CORPORATE_ACTION,3,6,7326,1.104,0.718,54.368,2.463,False
CORPORATE_ACTION,3,7,7322,1.193,0.728,54.78,4.11,False
CORPORATE_ACTION,3,8,7319,1.266,0.786,54.57,4.813,False
CORPORATE_ACTION,4,1,7344,0.643,0.478,53.826,6.182,False
CORPORATE_ACTION,4,2,7338,0.747,0.492,54.102,5.338,False
CORPORATE_ACTION,4,3,7332,0.881,0.612,54.474,4.51,False
CORPORATE_ACTION,4,4,7329,1.005,0.734,55.315,3.092,False
CORPORATE_ACTION,4,5,7325,1.09,0.742,55.085,4.871,False
CORPORATE_ACTION,4,6,7324,1.204,0.752,55.106,3.844,False
CORPORATE_ACTION,4,7,7320,1.293,0.794,55.082,5.497,False
CORPORATE_ACTION,4,8,7317,1.368,0.943,55.569,6.19,False
CORPORATE_ACTION,5,1,7344,0.781,0.536,54.466,7.936,False
CORPORATE_ACTION,5,2,7338,0.884,0.578,54.552,7.093,False
CORPORATE_ACTION,5,3,7332,1.02,0.696,54.583,6.28,False
CORPORATE_ACTION,5,4,7329,1.145,0.87,54.892,4.862,False
CORPORATE_ACTION,5,5,7325,1.23,0.89,55.44,6.64,False
CORPORATE_ACTION,5,6,7324,1.345,0.851,55.052,5.615,False
CORPORATE_ACTION,5,7,7320,1.434,1.017,55.751,7.254,False
CORPORATE_ACTION,5,8,7317,1.511,1.07,55.569,7.959,False
CORPORATE_ACTION,6,1,7344,0.917,0.598,54.153,9.321,False
CORPORATE_ACTION,6,2,7338,1.023,0.68,54.96,8.485,False
CORPORATE_ACTION,6,3,7332,1.157,0.866,55.524,7.659,False
CORPORATE_ACTION,6,4,7329,1.284,0.905,55.86,6.244,False
CORPORATE_ACTION,6,5,7325,1.37,0.892,55.345,8.025,False
CORPORATE_ACTION,6,6,7324,1.484,1.006,55.83,6.984,False
CORPORATE_ACTION,6,7,7320,1.574,1.078,55.888,8.62,False
CORPORATE_ACTION,6,8,7317,1.651,1.131,55.884,9.306,False
CORPORATE_ACTION,7,1,7343,1.05,0.622,54.746,9.925,False
CORPORATE_ACTION,7,2,7337,1.156,0.747,54.968,9.089,False
CORPORATE_ACTION,7,3,7331,1.289,0.922,55.64,8.265,False
CORPORATE_ACTION,7,4,7328,1.417,1.013,56.127,6.85,False
CORPORATE_ACTION,7,5,7324,1.502,1.076,55.857,8.631,False
CORPORATE_ACTION,7,6,7323,1.619,1.089,56.398,7.587,False
CORPORATE_ACTION,7,7,7319,1.709,1.185,56.155,9.224,False
CORPORATE_ACTION,7,8,7316,1.786,1.256,56.247,9.907,False
CORPORATE_ACTION,8,1,7342,1.143,0.698,54.971,12.066,False
CORPORATE_ACTION,8,2,7336,1.25,0.8,54.962,11.223,False
CORPORATE_ACTION,8,3,7330,1.385,0.929,55.825,10.381,False
CORPORATE_ACTION,8,4,7327,1.513,1.063,56.039,8.962,False
CORPORATE_ACTION,8,5,7323,1.598,1.093,56.084,10.744,False
CORPORATE_ACTION,8,6,7322,1.715,1.127,55.736,9.7,False
CORPORATE_ACTION,8,7,7318,1.805,1.266,56.136,11.333,False
CORPORATE_ACTION,8,8,7315,1.88,1.317,56.268,11.895,True
RESULTS,1,1,6341,0.255,0.0,49.787,1.078,False
RESULTS,1,2,6339,0.343,-0.025,49.55,0.513,False
RESULTS,1,3,6336,0.522,0.14,51.215,1.785,False
RESULTS,1,4,6335,0.619,0.168,51.271,2.096,False
RESULTS,1,5,6334,0.746,0.193,51.405,3.728,False
RESULTS,1,6,6334,0.805,0.25,51.642,2.5,False
RESULTS,1,7,6332,0.869,0.25,51.627,3.167,False
RESULTS,1,8,6331,0.923,0.286,51.809,4.049,False
RESULTS,2,1,6340,0.349,0.026,50.126,2.218,False
RESULTS,2,2,6338,0.437,0.08,50.647,1.658,False
RESULTS,2,3,6335,0.614,0.189,51.302,2.926,False
RESULTS,2,4,6334,0.709,0.289,52.116,3.231,False
RESULTS,2,5,6333,0.837,0.281,52.25,4.861,False
RESULTS,2,6,6333,0.897,0.325,52.029,3.629,False
RESULTS,2,7,6331,0.961,0.281,51.651,4.289,False
RESULTS,2,8,6330,1.014,0.296,51.959,5.176,False
RESULTS,3,1,6340,0.403,0.122,50.978,1.997,False
RESULTS,3,2,6338,0.489,0.154,51.262,1.496,False
RESULTS,3,3,6335,0.664,0.253,51.934,2.757,False
RESULTS,3,4,6334,0.759,0.33,52.384,3.069,False
RESULTS,3,5,6333,0.887,0.369,52.313,4.699,False
RESULTS,3,6,6333,0.947,0.365,52.424,3.467,False
RESULTS,3,7,6331,1.011,0.368,52.156,4.123,False
RESULTS,3,8,6330,1.066,0.344,52.038,5.006,False
RESULTS,4,1,6340,0.504,0.18,51.483,2.341,False
RESULTS,4,2,6338,0.587,0.218,51.657,1.803,False
RESULTS,4,3,6335,0.766,0.294,51.981,3.073,False
RESULTS,4,4,6334,0.864,0.382,52.463,3.387,False
RESULTS,4,5,6333,0.991,0.4,52.708,5.018,False
RESULTS,4,6,6333,1.051,0.359,52.266,3.786,False
RESULTS,4,7,6331,1.116,0.425,52.267,4.447,False
RESULTS,4,8,6330,1.171,0.356,51.991,5.328,False
RESULTS,5,1,6340,0.572,0.17,51.293,3.191,False
RESULTS,5,2,6338,0.656,0.17,51.262,2.651,False
RESULTS,5,3,6335,0.837,0.259,51.665,3.931,False
RESULTS,5,4,6334,0.935,0.366,52.005,4.243,False
RESULTS,5,5,6333,1.063,0.399,52.297,5.872,False
RESULTS,5,6,6333,1.122,0.34,52.219,4.641,False
RESULTS,5,7,6331,1.189,0.398,52.172,5.304,False
RESULTS,5,8,6330,1.245,0.375,52.038,6.187,False
RESULTS,6,1,6340,0.668,0.238,51.483,3.641,False
RESULTS,6,2,6338,0.753,0.244,51.499,3.158,False
RESULTS,6,3,6335,0.934,0.421,52.486,4.436,False
RESULTS,6,4,6334,1.031,0.304,51.895,4.748,False
RESULTS,6,5,6333,1.157,0.458,52.487,6.376,False
RESULTS,6,6,6333,1.216,0.444,52.297,5.144,False
RESULTS,6,7,6331,1.287,0.419,52.235,5.817,False
RESULTS,6,8,6330,1.342,0.432,52.164,6.693,False
RESULTS,7,1,6339,0.733,0.268,51.98,3.56,False
RESULTS,7,2,6337,0.819,0.279,51.633,3.109,False
RESULTS,7,3,6334,0.998,0.434,52.621,4.384,False
RESULTS,7,4,6333,1.091,0.471,52.613,4.69,False
RESULTS,7,5,6332,1.219,0.544,52.937,6.318,False
RESULTS,7,6,6332,1.281,0.51,52.701,5.087,False
RESULTS,7,7,6330,1.351,0.526,52.796,5.749,False
RESULTS,7,8,6329,1.407,0.602,52.71,6.626,False
RESULTS,8,1,6337,0.764,0.314,52.107,3.326,False
RESULTS,8,2,6335,0.849,0.38,52.092,2.913,False
RESULTS,8,3,6332,1.027,0.406,52.258,4.18,False
RESULTS,8,4,6331,1.118,0.472,52.393,4.48,False
RESULTS,8,5,6330,1.246,0.569,53.033,6.11,False
RESULTS,8,6,6330,1.309,0.493,52.196,4.88,False
RESULTS,8,7,6328,1.379,0.456,52.892,5.537,False
RESULTS,8,8,6327,1.436,0.592,52.726,6.411,True
