symbol,total_oct_dec_results,avg_day_of_month,october_dates,november_dates,december_dates
GRASIM,1,14.0,,2024-11-14,
GVT&D,1,8.0,,2024-11-08,
HAL,1,14.0,,2024-11-14,
HAVELLS,1,17.0,2024-10-17,,
HCLTECH,1,14.0,2024-10-14,,
HDFCAMC,1,15.0,2024-10-15,,
HDFCBANK,1,20.0,2024-10-20,,
HEROMOTOCO,1,15.0,,2024-11-15,
HINDALCO,1,11.0,,2024-11-11,
HINDPETRO,1,25.0,2024-10-25,,
HINDUNILVR,1,23.0,2024-10-23,,
HINDZINC,1,18.0,2024-10-18,,
HYUNDAI,1,13.0,,2024-11-13,
ICICIBANK,1,26.0,2024-10-26,,
IDEA,1,13.0,,2024-11-13,
IDFCFIRSTB,1,26.0,2024-10-26,,
IEX,1,24.0,2024-10-24,,
INDHOTEL,1,7.0,,2024-11-07,
INDIANB,1,28.0,2024-10-28,,
INDIGO,1,25.0,2024-10-25,,
INDUSINDBK,1,24.0,2024-10-24,,
INDUSTOWER,1,23.0,2024-10-23,,
INFY,1,17.0,2024-10-17,,
INOXWIND,1,25.0,2024-10-25,,
IOC,1,28.0,2024-10-28,,
IRFC,1,4.0,,2024-11-04,
ITC,1,24.0,2024-10-24,,
JINDALSTEL,1,7.0,,2024-11-07,
JIOFIN,1,18.0,2024-10-18,,
JSWENERGY,1,24.0,2024-10-24,,
JSWSTEEL,1,25.0,2024-10-25,,
JUBLFOOD,1,11.0,,2024-11-11,
KALYANKJIL,1,14.0,,2024-11-14,
KAYNES,1,29.0,2024-10-29,,
KEI,1,16.0,2024-10-16,,
KFINTECH,1,28.0,2024-10-28,,
KOTAKBANK,1,19.0,2024-10-19,,
KPITTECH,1,23.0,2024-10-23,,
LAURUSLABS,1,24.0,2024-10-24,,
LICHSGFIN,1,28.0,2024-10-28,,
LODHA,1,25.0,2024-10-25,,
LT,1,31.0,2024-10-31,,
LTF,1,18.0,2024-10-18,,
LTM,1,17.0,2024-10-17,,
LUPIN,1,7.0,,2024-11-07,
M&M,1,7.0,,2024-11-07,
MAHABANK,1,15.0,2024-10-15,,
MANAPPURAM,2,17.0,,"2018-11-28, 2024-11-06",
MANKIND,1,5.0,,2024-11-05,
MARICO,1,29.0,2024-10-29,,
MARUTI,1,29.0,2024-10-29,,
MAXHEALTH,1,5.0,,2024-11-05,
MAZDOCK,1,5.0,,2024-11-05,
MFSL,1,22.0,2024-10-22,,
MOTHERSON,1,12.0,,2024-11-12,
MOTILALOFS,1,28.0,2024-10-28,,
MPHASIS,1,17.0,2024-10-17,,
NAM-INDIA,1,24.0,2024-10-24,,
NATIONALUM,1,13.0,,2024-11-13,
NAUKRI,1,8.0,,2024-11-08,
NBCC,1,14.0,,2024-11-14,
NESTLEIND,1,17.0,2024-10-17,,
NHPC,1,8.0,,2024-11-08,
NMDC,1,11.0,,2024-11-11,
NTPC,1,24.0,2024-10-24,,
NYKAA,1,12.0,,2024-11-12,
OBEROIRLTY,1,18.0,2024-10-18,,
OFSS,1,24.0,2024-10-24,,
OIL,1,6.0,,2024-11-06,
ONGC,1,12.0,,2024-11-12,
PAGEIND,1,7.0,,2024-11-07,
PATANJALI,1,24.0,2024-10-24,,
PAYTM,1,22.0,2024-10-22,,
PERSISTENT,1,22.0,2024-10-22,,
PETRONET,1,25.0,2024-10-25,,
PFC,2,8.5,,"2023-11-09, 2024-11-08",
PGEL,1,11.0,,2024-11-11,
PHOENIXLTD,1,26.0,2024-10-26,,
PIDILITIND,1,24.0,2024-10-24,,
PIIND,1,14.0,,2024-11-14,
PNB,1,28.0,2024-10-28,,
PNBHOUSING,1,25.0,2024-10-25,,
POLICYBZR,1,6.0,,2024-11-06,
POLYCAB,1,17.0,2024-10-17,,
POWERGRID,1,7.0,,2024-11-07,
POWERINDIA,1,29.0,2024-10-29,,
PREMIERENE,1,9.0,,2024-11-09,
PRESTIGE,1,30.0,2024-10-30,,
RADICO,1,24.0,2024-10-24,,
RBLBANK,1,19.0,2024-10-19,,
RELIANCE,1,14.0,2024-10-14,,
RVNL,1,7.0,,2024-11-07,
SAGILITY,1,25.0,,2024-11-25,
SAIL,1,8.0,,2024-11-08,
SBICARD,2,28.0,"2023-10-27, 2024-10-29",,
SBIN,1,8.0,,2024-11-08,
SHREECEM,1,11.0,,2024-11-11,
SHRIRAMFIN,2,25.5,"2023-10-26, 2024-10-25",,
SIEMENS,1,26.0,,2024-11-26,
SOLARINDS,1,14.0,,2024-11-14,
SONACOMS,1,23.0,2024-10-23,,
SRF,1,22.0,2024-10-22,,
SUNPHARMA,1,28.0,2024-10-28,,
SUPREMEIND,1,22.0,2024-10-22,,
SUZLON,1,28.0,2024-10-28,,
SWIGGY,1,4.0,,,2024-12-04
TATACONSUM,1,18.0,2024-10-18,,
TATAELXSI,1,11.0,2024-10-11,,
TATAPOWER,1,30.0,2024-10-30,,
TATASTEEL,1,6.0,,2024-11-06,
TCS,1,10.0,2024-10-10,,
TECHM,1,19.0,2024-10-19,,
TIINDIA,1,4.0,,2024-11-04,
TITAN,1,5.0,,2024-11-05,
TMPV,1,8.0,,2024-11-08,
TORNTPHARM,1,25.0,2024-10-25,,
TRENT,1,8.0,,2024-11-08,
TVSMOTOR,1,23.0,2024-10-23,,
ULTRACEMCO,1,21.0,2024-10-21,,
UNIONBANK,1,22.0,2024-10-22,,
UNITDSPR,1,24.0,2024-10-24,,
UNOMINDA,1,12.0,,2024-11-12,
UPL,1,11.0,,2024-11-11,
VBL,1,22.0,2024-10-22,,
VEDL,1,9.0,,2024-11-09,
VOLTAS,1,30.0,2024-10-30,,
WAAREEENER,1,19.0,,2024-11-19,
WIPRO,1,17.0,2024-10-17,,
YESBANK,1,26.0,2024-10-26,,
ZYDUSLIFE,1,12.0,,2024-11-12,
