symbol,latest_broadcast_date,relating_to,from_date,to_date,_dt
SIEMENS,2025-02-12,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-02-12
APOLLOHOSP,2025-02-11,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-02-11
IDEA,2025-02-11,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-02-11
EICHERMOT,2025-02-11,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-02-11
NYKAA,2025-02-11,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-02-11
NATIONALUM,2025-02-10,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-02-10
VBL,2025-02-10,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-02-10
GRASIM,2025-02-10,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-02-10
PATANJALI,2025-02-10,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-02-10
OIL,2025-02-08,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-02-08
FORTIS,2025-02-07,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-02-07
COCHINSHIP,2025-02-07,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-02-07
ALKEM,2025-02-07,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-02-07
NHPC,2025-02-07,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-02-07
PIIND,2025-02-07,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-02-07
MAZDOCK,2025-02-07,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-02-07
M&M,2025-02-07,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-02-07
DELHIVERY,2025-02-07,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-02-07
ITC,2025-02-06,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-02-06
HEROMOTOCO,2025-02-06,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-02-06
CUMMINSIND,2025-02-06,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-02-06
NMDC,2025-02-06,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-02-06
AUROPHARMA,2025-02-06,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-02-06
SBIN,2025-02-06,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-02-06
BRITANNIA,2025-02-06,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-02-06
BSE,2025-02-06,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-02-06
UNOMINDA,2025-02-06,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-02-06
BHARTIARTL,2025-02-06,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-02-06
TRENT,2025-02-06,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-02-06
PGEL,2025-02-06,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-02-06
SOLARINDS,2025-02-06,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-02-06
GVT&D,2025-02-05,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-02-05
SWIGGY,2025-02-05,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-02-05
ZYDUSLIFE,2025-02-05,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-02-05
SAGILITY,2025-02-05,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-02-05
NAUKRI,2025-02-05,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-02-05
PAGEIND,2025-02-05,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-02-05
TATAPOWER,2025-02-04,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-02-04
POWERGRID,2025-02-04,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-02-04
PREMIERENE,2025-02-04,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-02-04
TITAN,2025-02-04,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-02-04
GODREJPROP,2025-02-04,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-02-04
MFSL,2025-02-04,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-02-04
ADANIENSOL,2025-02-04,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-02-04
ASIANPAINT,2025-02-04,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-02-04
TIINDIA,2025-02-03,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-02-03
ABCAPITAL,2025-02-03,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-02-03
DIVISLAB,2025-02-03,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-02-03
MARICO,2025-01-31,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-31
SUNPHARMA,2025-01-31,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-31
ADANIENT,2025-01-31,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-31
LICHSGFIN,2025-01-31,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-31
ONGC,2025-01-31,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-31
PRESTIGE,2025-01-31,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-31
JINDALSTEL,2025-01-31,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-31
PNB,2025-01-31,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-31
NESTLEIND,2025-01-31,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-31
BANDHANBNK,2025-01-31,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-31
INDUSINDBK,2025-01-31,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-31
CONCOR,2025-01-31,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-31
UPL,2025-01-31,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-31
VEDL,2025-01-31,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-31
VMM,2025-01-31,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-31
KALYANKJIL,2025-01-31,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-31
BIOCON,2025-01-31,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-31
LT,2025-01-31,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-31
GAIL,2025-01-31,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-31
PHOENIXLTD,2025-01-31,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-31
BAJAJFINSV,2025-01-30,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-30
TATACONSUM,2025-01-30,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-30
SHREECEM,2025-01-30,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-30
DABUR,2025-01-30,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-30
BEL,2025-01-30,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-30
POLICYBZR,2025-01-30,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-30
BANKBARODA,2025-01-30,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-30
BAJAJHLDNG,2025-01-30,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-30
ADANIPORTS,2025-01-30,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-30
WAAREEENER,2025-01-30,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-30
ASTRAL,2025-01-30,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-30
MAXHEALTH,2025-01-30,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-30
BLUESTARCO,2025-01-29,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-29
CAMS,2025-01-29,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-29
CGPOWER,2025-01-29,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-29
RADICO,2025-01-29,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-29
MARUTI,2025-01-29,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-29
CIPLA,2025-01-29,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-29
KOTAKBANK,2025-01-29,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-29
MOTILALOFS,2025-01-29,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-29
KPITTECH,2025-01-29,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-29
SRF,2025-01-29,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-29
AMBUJACEM,2025-01-29,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-29
BAJAJ-AUTO,2025-01-29,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-29
ADANIPOWER,2025-01-29,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-29
TMPV,2025-01-29,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-29
INDIANB,2025-01-29,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-29
POWERINDIA,2025-01-29,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-29
VOLTAS,2025-01-29,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-29
BAJFINANCE,2025-01-29,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-29
GMRAIRPORT,2025-01-29,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-29
BOSCHLTD,2025-01-28,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-28
BHEL,2025-01-28,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-28
FEDERALBNK,2025-01-28,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-28
KAYNES,2025-01-28,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-28
PETRONET,2025-01-28,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-28
360ONE,2025-01-28,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-28
SBICARD,2025-01-28,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-28
UNIONBANK,2025-01-28,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-28
TVSMOTOR,2025-01-28,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-28
SUZLON,2025-01-28,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-28
JSWENERGY,2025-01-28,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-28
COLPAL,2025-01-28,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-28
HINDZINC,2025-01-28,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-28
HYUNDAI,2025-01-28,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-28
CANBK,2025-01-27,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-27
COALINDIA,2025-01-27,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-27
TATASTEEL,2025-01-27,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-27
IOC,2025-01-27,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-27
IDFCFIRSTB,2025-01-25,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-25
ICICIBANK,2025-01-25,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-25
NTPC,2025-01-25,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-25
CDSL,2025-01-25,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-25
YESBANK,2025-01-25,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-25
AMBER,2025-01-24,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-24
TORNTPHARM,2025-01-24,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-24
SHRIRAMFIN,2025-01-24,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-24
AUBANK,2025-01-24,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-24
GODREJCP,2025-01-24,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-24
INDUSTOWER,2025-01-24,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-24
DRREDDY,2025-01-24,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-24
DLF,2025-01-24,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-24
MANKIND,2025-01-24,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-24
BANKINDIA,2025-01-24,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-24
JSWSTEEL,2025-01-24,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-24
LAURUSLABS,2025-01-24,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-24
INDIGO,2025-01-24,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-24
MPHASIS,2025-01-24,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-24
PIDILITIND,2025-01-23,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-23
KFINTECH,2025-01-23,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-23
ADANIGREEN,2025-01-23,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-23
IEX,2025-01-23,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-23
HINDPETRO,2025-01-23,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-23
ULTRACEMCO,2025-01-23,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-23
UNITDSPR,2025-01-23,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-23
HDFCBANK,2025-01-23,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-23
SONACOMS,2025-01-23,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-23
BPCL,2025-01-23,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-23
NAM-INDIA,2025-01-23,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-23
COFORGE,2025-01-23,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-23
HINDUNILVR,2025-01-22,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-22
POLYCAB,2025-01-22,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-22
PNBHOUSING,2025-01-22,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-22
PERSISTENT,2025-01-22,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-22
OBEROIRLTY,2025-01-21,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-21
KEI,2025-01-21,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-21
APLAPOLLO,2025-01-20,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-20
DIXON,2025-01-20,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-20
ETERNAL,2025-01-20,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-20
LTF,2025-01-20,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-20
SUPREMEIND,2025-01-20,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-20
PAYTM,2025-01-20,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-20
IRFC,2025-01-20,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-20
RBLBANK,2025-01-18,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-18
JIOFIN,2025-01-17,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-17
TECHM,2025-01-17,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-17
WIPRO,2025-01-17,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-17
INDHOTEL,2025-01-17,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-17
HAVELLS,2025-01-16,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-16
LTM,2025-01-16,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-16
AXISBANK,2025-01-16,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-16
RELIANCE,2025-01-16,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-16
INFY,2025-01-16,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-16
OFSS,2025-01-15,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-15
MAHABANK,2025-01-15,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-15
HCLTECH,2025-01-14,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-14
HDFCAMC,2025-01-14,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-14
DMART,2025-01-11,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-11
TCS,2025-01-09,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-09
TATAELXSI,2025-01-09,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-09
IREDA,2025-01-09,Qtr ended 31-DEC-2024,01-OCT-2024,31-DEC-2024,2025-01-09
CHOLAFIN,2024-10-26,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024,2024-10-26
