audited,bank,broadCastDate,companyName,consolidated,cumulative,difference,exchdisstime,filingDate,financialYear,format,fromDate,indAs,industry,isin,oldNewFlag,params,period,reInd,relatingTo,resultDescription,resultDetailedDataLink,seqNumber,symbol,toDate,xbrl,seqNumber_int
Un-Audited,N,2009-04-23 16:30:33,Reliance Industries Limited,Non-Consolidated,Non-cumulative,::,,23-Apr-2009 16:34,-,Old,2009-01-01,Non-Ind-AS,-,INE002A01018,,01-Jan-200931-Mar-2009Q4UNNNAERELIANCE,Quarterly,-,Fourth Quarter,,https://nsearchives.nseindia.com/archives/financial_results/financial_res_RELIANCE_62789.html,62789,RELIANCE,2009-03-31,https://nsearchives.nseindia.com/corporate/xbrl/-,62789
Un-Audited,N,2009-07-24 16:39:40,Reliance Industries Limited,Non-Consolidated,Non-cumulative,::,,24-Jul-2009 17:09,-,Old,2009-04-01,Non-Ind-AS,-,INE002A01018,,01-Apr-200930-Jun-2009Q1UNNNAERELIANCE,Quarterly,-,First Quarter,,https://nsearchives.nseindia.com/archives/financial_results/financial_res_RELIANCE_65972.html,65972,RELIANCE,2009-06-30,https://nsearchives.nseindia.com/corporate/xbrl/-,65972
Audited,N,2009-10-07 17:06:23,Reliance Industries Limited,Non-Consolidated,Cumulative,::,,07-Oct-2009 17:09,-,Old,2008-04-01,Non-Ind-AS,-,INE002A01018,,01-Apr-200831-Mar-2009ANANCNAERELIANCE,Annual,-,Annual,,https://nsearchives.nseindia.com/archives/financial_results/financial_res_RELIANCE_67540.html,67540,RELIANCE,2009-03-31,https://nsearchives.nseindia.com/corporate/xbrl/-,67540
Audited,N,2009-10-07 17:06:41,Reliance Industries Limited,Consolidated,Cumulative,::,,07-Oct-2009 17:11,-,Old,2008-04-01,Non-Ind-AS,-,INE002A01018,,01-Apr-200831-Mar-2009ANANCCAERELIANCE,Annual,-,Annual,,https://nsearchives.nseindia.com/archives/financial_results/financial_res_RELIANCE_67541.html,67541,RELIANCE,2009-03-31,https://nsearchives.nseindia.com/corporate/xbrl/-,67541
Un-Audited,N,2009-10-29 17:19:28,Reliance Industries Limited,Non-Consolidated,Non-cumulative,::,,29-Oct-2009 17:23,-,Old,2009-07-01,Non-Ind-AS,-,INE002A01018,,01-Jul-200930-Sep-2009Q2UNNNAERELIANCE,Quarterly,-,Second Quarter,,https://nsearchives.nseindia.com/archives/financial_results/financial_res_RELIANCE_69165.html,69165,RELIANCE,2009-09-30,https://nsearchives.nseindia.com/corporate/xbrl/-,69165
Un-Audited,N,2010-01-22 11:31:31,Reliance Industries Limited,Non-Consolidated,Non-cumulative,::,,22-Jan-2010 11:34,-,Old,2009-10-01,Non-Ind-AS,-,INE002A01018,,01-Oct-200931-Dec-2009Q3UNNNAERELIANCE,Quarterly,-,Third Quarter,,https://nsearchives.nseindia.com/archives/financial_results/financial_res_RELIANCE_71071.html,71071,RELIANCE,2009-12-31,https://nsearchives.nseindia.com/corporate/xbrl/-,71071
Audited,N,2010-04-23 17:40:18,Reliance Industries Limited,Non-Consolidated,Non-cumulative,::,,23-Apr-2010 18:02,-,Old,2010-01-01,Non-Ind-AS,-,INE002A01018,,01-Jan-201031-Mar-2010Q4ANNNAERELIANCE,Quarterly,-,Fourth Quarter,,https://nsearchives.nseindia.com/archives/financial_results/financial_res_RELIANCE_72749.html,72749,RELIANCE,2010-03-31,https://nsearchives.nseindia.com/corporate/xbrl/-,72749
Audited,N,2010-04-23 17:47:15,Reliance Industries Limited,Consolidated,Cumulative,::,,23-Apr-2010 18:02,-,Old,2009-04-01,Non-Ind-AS,-,INE002A01018,,01-Apr-200931-Mar-2010ANANCCAERELIANCE,Annual,-,Annual,,https://nsearchives.nseindia.com/archives/financial_results/financial_res_RELIANCE_72751.html,72751,RELIANCE,2010-03-31,https://nsearchives.nseindia.com/corporate/xbrl/-,72751
Un-Audited,N,2010-07-27 17:47:38,Reliance Industries Limited,Non-Consolidated,Non-cumulative,::,,27-Jul-2010 17:50,-,Old,2010-04-01,Non-Ind-AS,-,INE002A01018,,01-Apr-201030-Jun-2010Q1UNNNAERELIANCE,Quarterly,-,First Quarter,,https://nsearchives.nseindia.com/archives/financial_results/financial_res_RELIANCE_76097.html,76097,RELIANCE,2010-06-30,https://nsearchives.nseindia.com/corporate/xbrl/-,76097
Un-Audited,N,2010-10-30 12:51:36,Reliance Industries Limited,Non-Consolidated,Non-cumulative,::,,30-Oct-2010 13:09,-,Old,2010-07-01,Non-Ind-AS,-,INE002A01018,,01-Jul-201030-Sep-2010Q2UNNNAERELIANCE,Quarterly,-,Second Quarter,,https://nsearchives.nseindia.com/archives/financial_results/financial_res_RELIANCE_79396.html,79396,RELIANCE,2010-09-30,https://nsearchives.nseindia.com/corporate/xbrl/-,79396
