symbol,is_nifty50,financial_period,result_date_announced_to_nse,actual_result_declaration_date,prior_notice_days,intimation_details,raw_broadcast_time
RECLTD,NO,Quarterly Financial Results,2026-05-30,2026-06-28,29 Days Prior Notice,General Updates Intimation of sale and transfer of project specific SPVs /Subsidiaries.,28-Jun-2026 22:35:09
ANGELONE,NO,Quarterly Financial Results,2026-05-20,2026-06-24,35 Days Prior Notice,Shareholders meeting Angel One Limited has informed the Exchange regarding Notice of 30th Annual General Meeting to to b,2026-06-24 11:36:07
ANGELONE,NO,Quarterly Financial Results,2026-05-20,2026-06-12,23 Days Prior Notice,Shareholders meeting Angel One Limited has informed the Exchange regarding Notice of 30th Annual General Meeting to to b,2026-06-12 22:30:24
ATHERENERG,NO,Quarterly Financial Results,2026-06-12,2026-06-12,0 Days Prior Notice,Outcome of Board Meeting Ather Energy Limited has informed the Exchange regarding Outcome of Board Meeting held on Jun 1,12-Jun-2026 23:19:14
LICI,NO,Quarterly Financial Results,2026-05-21,2026-05-21,0 Days Prior Notice,"Outcome of Board Meeting Life Insurance Corporation of India has informed to the Exchange, the financial results for the",21-May-2026 17:25:26
ANGELONE,NO,Quarterly Financial Results,2026-04-16,2026-05-20,34 Days Prior Notice,"Outcome of Board Meeting Angel One Limited has submitted to the Exchange, the financial results for the period ended Mar",2026-05-20 22:31:10
RECLTD,NO,Quarterly Financial Results,2026-04-15,2026-05-16,31 Days Prior Notice,"Outcome of Board Meeting Outcome of Board Meeting held on April 15, 2026.",16-May-2026 17:58:34
MUTHOOTFIN,NO,Quarterly Financial Results,2026-04-22,2026-05-14,22 Days Prior Notice,Updates Muthoot Finance Limited has informed the Exchange regarding 'Intimation To Shareholders Regarding TDS On Dividen,14-May-2026 17:34:34
MUTHOOTFIN,NO,Quarterly Financial Results,2026-04-22,2026-05-14,22 Days Prior Notice,Updates Muthoot Finance Limited has informed the Exchange regarding 'Intimation To Shareholders Regarding TDS On Dividen,14-May-2026 17:05:04
ATHERENERG,NO,Quarterly Financial Results,2026-05-04,2026-05-04,0 Days Prior Notice,"Outcome of Board Meeting Ather Energy Limited has submitted to the Exchange, the financial results for the period ended ",04-May-2026 11:10:48
FORCEMOT,NO,Quarterly Financial Results,2026-04-29,2026-04-29,0 Days Prior Notice,"Outcome of Board Meeting FORCE MOTORS LTD has submitted to the Exchange, the financial results for the period ended Marc",29-Apr-2026 18:18:23
FORCEMOT,NO,Quarterly Financial Results,2026-04-29,2026-04-29,0 Days Prior Notice,"Outcome of Board Meeting FORCE MOTORS LTD has submitted to the Exchange, the financial results for the period ended Marc",29-Apr-2026 18:05:20
RECLTD,NO,Quarterly Financial Results,2026-03-25,2026-04-28,34 Days Prior Notice,"Outcome of Board Meeting REC Limited has informed the Exchange regarding Outcome of Board Meeting held on March 25, 2026",28-Apr-2026 15:19:28
ANGELONE,NO,Quarterly Financial Results,2026-03-16,2026-04-16,31 Days Prior Notice,"Updates Board of Directors will consider declaration of the 2nd interim dividend, for the financial year 2025-26, by cir",2026-04-16 20:23:49
ANGELONE,NO,Quarterly Financial Results,2026-03-16,2026-04-16,31 Days Prior Notice,"Updates Board of Directors will consider declaration of the 2nd interim dividend, for the financial year 2025-26, by cir",2026-04-16 19:59:47
ICICIGI,NO,Quarterly Financial Results,2026-04-15,2026-04-15,0 Days Prior Notice,"Outcome of Board Meeting ICICI Lombard General Insurance Company Limited has submitted to the Exchange, the financial re",15-Apr-2026 19:15:46
ICICIGI,NO,Quarterly Financial Results,2026-04-15,2026-04-15,0 Days Prior Notice,"Outcome of Board Meeting ICICI Lombard General Insurance Company Limited has submitted to the Exchange, the financial re",15-Apr-2026 19:01:03
RECLTD,NO,Quarterly Financial Results,2026-03-25,2026-04-15,21 Days Prior Notice,"Outcome of Board Meeting REC Limited has informed the Exchange regarding Outcome of Board Meeting held on March 25, 2026",15-Apr-2026 18:24:36
ICICIPRULI,NO,Quarterly Financial Results,2026-04-14,2026-04-14,0 Days Prior Notice,"Outcome of Board Meeting ICICI Prudential Life Insurance Company Limited has submitted to the Exchange, the financial re",14-Apr-2026 14:49:29
MUTHOOTFIN,NO,Quarterly Financial Results,2026-04-07,2026-04-07,0 Days Prior Notice,Updates Muthoot Finance Limited has informed the Exchange regarding the Board Meeting inter-alia to consider declaration,07-Apr-2026 17:17:17
RECLTD,NO,Quarterly Financial Results,2026-02-26,2026-03-25,27 Days Prior Notice,General Updates Intimation of sale and transfer of project specific SPV / subsidiary.,25-Mar-2026 10:36:18
ANGELONE,NO,Quarterly Financial Results,2026-02-18,2026-03-20,30 Days Prior Notice,Shareholders meeting Angel One Limited has informed the Exchange about Shareholders meeting ,2026-03-20 12:29:40
ANGELONE,NO,Quarterly Financial Results,2026-02-18,2026-03-16,26 Days Prior Notice,Shareholders meeting Angel One Limited has informed the Exchange about Shareholders meeting ,2026-03-16 20:52:56
ANGELONE,NO,Quarterly Financial Results,2026-01-15,2026-02-18,34 Days Prior Notice,"Outcome of Board Meeting Angel One Limited has informed the Exchange regarding  Board meeting held on January 15, 2026. ",2026-02-18 21:24:52
MUTHOOTFIN,NO,Quarterly Financial Results,2026-02-12,2026-02-12,0 Days Prior Notice,"Outcome of Board Meeting Muthoot Finance Limited has informed the Exchange regarding  Board meeting held on February 12,",12-Feb-2026 15:39:39
MUTHOOTFIN,NO,Quarterly Financial Results,2026-02-12,2026-02-12,0 Days Prior Notice,"Outcome of Board Meeting Muthoot Finance Limited has informed the Exchange regarding  Board meeting held on February 12,",12-Feb-2026 15:36:55
RECLTD,NO,Quarterly Financial Results,2026-01-07,2026-02-06,30 Days Prior Notice,General Updates Intimation of incorporation of subsidiary company.,06-Feb-2026 17:15:01
ICICIPRULI,NO,Quarterly Financial Results,2026-01-13,2026-02-05,23 Days Prior Notice,"Outcome of Board Meeting Outcome of the Board Meeting held on January 13, 2026 ",05-Feb-2026 18:32:41
LICI,NO,Quarterly Financial Results,2026-02-05,2026-02-05,0 Days Prior Notice,"Outcome of Board Meeting Life Insurance Corporation of India has submitted to the Exchange, the financial results for th",05-Feb-2026 16:05:18
FORCEMOT,NO,Quarterly Financial Results,2026-02-04,2026-02-04,0 Days Prior Notice,"Outcome of Board Meeting FORCE MOTORS LTD has submitted to the Exchange, Unaudited Standalone and Consolidated financial",04-Feb-2026 20:00:28
ANGELONE,NO,Quarterly Financial Results,2026-01-15,2026-02-03,19 Days Prior Notice,"Outcome of Board Meeting Angel One Limited has informed the Exchange regarding  Board meeting held on January 15, 2026. ",2026-02-03 14:46:54
ATHERENERG,NO,Quarterly Financial Results,2026-02-02,2026-02-02,0 Days Prior Notice,"Outcome of Board Meeting Ather Energy Limited has submitted to the Exchange, the financial results for the period ended ",02-Feb-2026 16:21:16
RECLTD,NO,Quarterly Financial Results,2025-12-25,2026-01-29,35 Days Prior Notice,General Updates Intimation of incorporation of subsidiary company.,29-Jan-2026 16:21:42
RECLTD,NO,Quarterly Financial Results,2025-12-25,2026-01-29,35 Days Prior Notice,General Updates Intimation of incorporation of subsidiary company.,29-Jan-2026 16:05:52
RECLTD,NO,Quarterly Financial Results,2025-12-19,2026-01-23,35 Days Prior Notice,General Updates Intimation of incorporation of subsidiary company.,23-Jan-2026 15:04:42
ANGELONE,NO,Quarterly Financial Results,2026-01-15,2026-01-19,4 Days Prior Notice,"Outcome of Board Meeting Angel One Limited has informed the Exchange regarding  Board meeting held on January 15, 2026. ",2026-01-19 19:19:41
ANGELONE,NO,Quarterly Financial Results,2026-01-15,2026-01-15,0 Days Prior Notice,"Outcome of Board Meeting Angel One Limited has informed the Exchange regarding  Board meeting held on January 15, 2026. ",2026-01-15 18:45:57
ANGELONE,NO,Quarterly Financial Results,2026-01-15,2026-01-15,0 Days Prior Notice,"Outcome of Board Meeting Angel One Limited has informed the Exchange regarding  Board meeting held on January 15, 2026. ",2026-01-15 18:44:30
ANGELONE,NO,Quarterly Financial Results,2026-01-15,2026-01-15,0 Days Prior Notice,"Outcome of Board Meeting Angel One Limited has informed the Exchange regarding  Board meeting held on January 15, 2026. ",2026-01-15 18:34:43
ANGELONE,NO,Quarterly Financial Results,2026-01-15,2026-01-15,0 Days Prior Notice,"Outcome of Board Meeting Angel One Limited has informed the Exchange regarding  Board meeting held on January 15, 2026. ",2026-01-15 18:22:00
ICICIGI,NO,Quarterly Financial Results,2025-12-15,2026-01-13,29 Days Prior Notice,Updates ICICI Lombard General Insurance Company Limited has informed the Exchange regarding 'Schedule Of Analyst/ Instit,13-Jan-2026 17:37:58
ICICIPRULI,NO,Quarterly Financial Results,2026-01-13,2026-01-13,0 Days Prior Notice,"Outcome of Board Meeting Outcome of the Board Meeting held on January 13, 2026 ",13-Jan-2026 13:27:54
ICICIPRULI,NO,Quarterly Financial Results,2026-01-13,2026-01-13,0 Days Prior Notice,"Outcome of Board Meeting Outcome of the Board Meeting held on January 13, 2026 ",13-Jan-2026 13:24:47
MUTHOOTFIN,NO,Quarterly Financial Results,2025-11-13,2025-11-13,0 Days Prior Notice,"Outcome of Board Meeting Muthoot Finance Limited has submitted to the Exchange, the financial results for the period end",13-Nov-2025 15:58:38
MUTHOOTFIN,NO,Quarterly Financial Results,2025-11-13,2025-11-13,0 Days Prior Notice,"Outcome of Board Meeting Muthoot Finance Limited has submitted to the Exchange, the financial results for the period end",13-Nov-2025 15:51:44
ATHERENERG,NO,Quarterly Financial Results,2025-11-10,2025-11-10,0 Days Prior Notice,"Outcome of Board Meeting Ather Energy Limited has submitted to the Exchange, the unaudited financial results for the qua",10-Nov-2025 18:45:39
FORCEMOT,NO,Quarterly Financial Results,2025-11-07,2025-11-07,0 Days Prior Notice,"Outcome of Board Meeting FORCE MOTORS LTD has submitted to the Exchange, the Unaudited Standalone and Consolidated finan",07-Nov-2025 19:12:57
LICI,NO,Quarterly Financial Results,2025-11-06,2025-11-06,0 Days Prior Notice,"Outcome of Board Meeting Life Insurance Corporation Of India has submitted to the Exchange, the financial results for th",06-Nov-2025 17:13:22
ANGELONE,NO,Quarterly Financial Results,2025-10-15,2025-11-04,20 Days Prior Notice,"Outcome of Board Meeting Angel One Limited has informed the Exchange regarding  Board meeting held on October 15, 2025. ",2025-11-04 20:33:48
RECLTD,NO,Quarterly Financial Results,2025-09-24,2025-10-17,23 Days Prior Notice,General Updates Intimation of sale and transfer of project specific SPV/ Subsidiary.,17-Oct-2025 19:19:03
RECLTD,NO,Quarterly Financial Results,2025-09-24,2025-10-17,23 Days Prior Notice,General Updates Intimation of sale and transfer of project specific SPV/ Subsidiary.,17-Oct-2025 18:57:08
RECLTD,NO,Quarterly Financial Results,2025-09-24,2025-10-17,23 Days Prior Notice,General Updates Intimation of sale and transfer of project specific SPV/ Subsidiary.,17-Oct-2025 18:47:12
ANGELONE,NO,Quarterly Financial Results,2025-10-15,2025-10-15,0 Days Prior Notice,"Outcome of Board Meeting Angel One Limited has informed the Exchange regarding  Board meeting held on October 15, 2025. ",2025-10-15 19:36:54
ANGELONE,NO,Quarterly Financial Results,2025-10-15,2025-10-15,0 Days Prior Notice,"Outcome of Board Meeting Angel One Limited has informed the Exchange regarding  Board meeting held on October 15, 2025. ",2025-10-15 19:26:38
ICICIGI,NO,Quarterly Financial Results,2025-10-14,2025-10-14,0 Days Prior Notice,"Outcome of Board Meeting ICICI Lombard General Insurance Company Limited has submitted to the Exchange, the financial re",14-Oct-2025 17:51:31
ICICIPRULI,NO,Quarterly Financial Results,2025-09-12,2025-10-14,32 Days Prior Notice,Outcome of Board Meeting ICICI Prudential Life Insurance Company Limited has informed the Exchange regarding Outcome of ,14-Oct-2025 13:48:36
ICICIPRULI,NO,Quarterly Financial Results,2025-09-12,2025-10-14,32 Days Prior Notice,Outcome of Board Meeting ICICI Prudential Life Insurance Company Limited has informed the Exchange regarding Outcome of ,14-Oct-2025 13:45:55
ICICIPRULI,NO,Quarterly Financial Results,2025-08-19,2025-09-12,24 Days Prior Notice,General Updates ICICI Prudential Life Insurance Company Limited has informed the Exchange about Intimation of Notice sen,12-Sep-2025 14:32:09
ICICIPRULI,NO,Quarterly Financial Results,2025-08-19,2025-09-12,24 Days Prior Notice,General Updates ICICI Prudential Life Insurance Company Limited has informed the Exchange about Intimation of Notice sen,12-Sep-2025 14:31:05
MUTHOOTFIN,NO,Quarterly Financial Results,2025-07-28,2025-08-13,16 Days Prior Notice,"Outcome of Board Meeting Muthoot Finance Limited has informed the Exchange regarding  Board meeting held on July 28, 202",13-Aug-2025 16:13:59
MUTHOOTFIN,NO,Quarterly Financial Results,2025-07-28,2025-08-13,16 Days Prior Notice,"Outcome of Board Meeting Muthoot Finance Limited has informed the Exchange regarding  Board meeting held on July 28, 202",13-Aug-2025 15:55:42
LICI,NO,Quarterly Financial Results,2025-07-09,2025-08-07,29 Days Prior Notice,General Updates Life Insurance Corporation Of India has informed the Exchange about intimation of publication of notices,07-Aug-2025 17:12:14
ATHERENERG,NO,Quarterly Financial Results,2025-08-04,2025-08-04,0 Days Prior Notice,"Outcome of Board Meeting Ather Energy Limited has informed the Exchange regarding  Board meeting held on August 04, 2025",04-Aug-2025 16:09:37
ATHERENERG,NO,Quarterly Financial Results,2025-08-04,2025-08-04,0 Days Prior Notice,"Outcome of Board Meeting Ather Energy Limited has informed the Exchange regarding  Board meeting held on August 04, 2025",04-Aug-2025 14:24:04
MUTHOOTFIN,NO,Quarterly Financial Results,2025-07-28,2025-07-28,0 Days Prior Notice,"Outcome of Board Meeting Muthoot Finance Limited has informed the Exchange regarding  Board meeting held on July 28, 202",28-Jul-2025 16:17:06
RECLTD,NO,Quarterly Financial Results,2025-06-26,2025-07-24,28 Days Prior Notice,General Updates Intimation of incorporation of subsidiary company.,24-Jul-2025 15:36:24
ANGELONE,NO,Quarterly Financial Results,2025-06-20,2025-07-23,33 Days Prior Notice,Disclosure under SEBI Takeover Regulations  Dinesh D. Thakkar has Submitted to the Exchange a copy of Disclosure under R,2025-07-23 17:24:39
FORCEMOT,NO,Quarterly Financial Results,2025-07-23,2025-07-23,0 Days Prior Notice,"Outcome of Board Meeting FORCE MOTORS LTD has submitted to the Exchange, the financial results for the period ended Jun ",23-Jul-2025 18:49:22
ANGELONE,NO,Quarterly Financial Results,2025-06-20,2025-07-16,26 Days Prior Notice,Disclosure under SEBI Takeover Regulations  Dinesh D. Thakkar has Submitted to the Exchange a copy of Disclosure under R,2025-07-16 19:49:35
ANGELONE,NO,Quarterly Financial Results,2025-06-20,2025-07-16,26 Days Prior Notice,Disclosure under SEBI Takeover Regulations  Dinesh D. Thakkar has Submitted to the Exchange a copy of Disclosure under R,2025-07-16 19:44:28
ICICIGI,NO,Quarterly Financial Results,2025-07-15,2025-07-15,0 Days Prior Notice,"Outcome of Board Meeting ICICI Lombard General Insurance Company Limited has submitted to the Exchange, the financial re",15-Jul-2025 17:47:32
ICICIPRULI,NO,Quarterly Financial Results,2025-07-15,2025-07-15,0 Days Prior Notice,"Outcome of Board Meeting ICICI Prudential Life Insurance Company Limited has submitted to the Exchange, the financial re",15-Jul-2025 13:48:06
ICICIPRULI,NO,Quarterly Financial Results,2025-07-15,2025-07-15,0 Days Prior Notice,"Outcome of Board Meeting ICICI Prudential Life Insurance Company Limited has submitted to the Exchange, the financial re",15-Jul-2025 13:43:54
LICI,NO,Quarterly Financial Results,2025-07-09,2025-07-11,2 Days Prior Notice,General Updates Life Insurance Corporation Of India has informed the Exchange about intimation of publication of notices,11-Jul-2025 20:17:30
ANGELONE,NO,Quarterly Financial Results,2025-06-09,2025-06-27,18 Days Prior Notice,Shareholders meeting Angel One Limited has informed the Exchange regarding Proceedings of Annual General Meeting held on,2025-06-27 14:00:48
ANGELONE,NO,Quarterly Financial Results,2025-05-16,2025-06-20,35 Days Prior Notice,Shareholders meeting Angel One Limited has informed the Exchange regarding Notice of Annual General Meeting to be held o,2025-06-20 17:39:35
ANGELONE,NO,Quarterly Financial Results,2025-05-14,2025-06-09,26 Days Prior Notice,"Outcome of Board Meeting Angel One Limited has informed the Exchange regarding  Board meeting held on May 14, 2025. ",2025-06-09 23:14:41
ANGELONE,NO,Quarterly Financial Results,2025-05-14,2025-06-09,26 Days Prior Notice,"Outcome of Board Meeting Angel One Limited has informed the Exchange regarding  Board meeting held on May 14, 2025. ",2025-06-09 23:05:23
RECLTD,NO,Quarterly Financial Results,2025-05-08,2025-06-04,27 Days Prior Notice,Dividend Outcome of Board Meeting.,04-Jun-2025 15:56:29
ATHERENERG,NO,Quarterly Financial Results,2025-05-12,2025-05-29,17 Days Prior Notice,Outcome of Board Meeting Ather Energy Limited has informed the Exchange regarding Outcome of Board Meeting held on May 1,29-May-2025 20:13:11
LICI,NO,Quarterly Financial Results,2025-05-27,2025-05-27,0 Days Prior Notice,"Outcome of Board Meeting Life Insurance Corporation Of India has submitted to the Exchange, the financial results for th",27-May-2025 18:16:46
ANGELONE,NO,Quarterly Financial Results,2025-04-12,2025-05-16,34 Days Prior Notice,Updates Angel One Limited has informed the Exchange regarding 'Intimation under SEBI (Listing Obligations and Disclosure,2025-05-16 21:16:59
ANGELONE,NO,Quarterly Financial Results,2025-04-12,2025-05-14,32 Days Prior Notice,Updates Angel One Limited has informed the Exchange regarding 'Intimation under SEBI (Listing Obligations and Disclosure,2025-05-14 18:09:00
MUTHOOTFIN,NO,Quarterly Financial Results,2025-04-28,2025-05-14,16 Days Prior Notice,Updates Muthoot Finance Limited has informed the Exchange about intimation to shareholders regarding TDS on dividend,14-May-2025 16:45:08
MUTHOOTFIN,NO,Quarterly Financial Results,2025-04-28,2025-05-14,16 Days Prior Notice,Updates Muthoot Finance Limited has informed the Exchange about intimation to shareholders regarding TDS on dividend,14-May-2025 16:38:52
ATHERENERG,NO,Quarterly Financial Results,2025-05-12,2025-05-12,0 Days Prior Notice,Outcome of Board Meeting Ather Energy Limited has informed the Exchange regarding Outcome of Board Meeting held on May 1,12-May-2025 14:29:27
RECLTD,NO,Quarterly Financial Results,2025-05-08,2025-05-08,0 Days Prior Notice,Dividend Outcome of Board Meeting.,08-May-2025 16:00:21
RECLTD,NO,Quarterly Financial Results,2025-05-08,2025-05-08,0 Days Prior Notice,Dividend Outcome of Board Meeting.,08-May-2025 15:51:50
FORCEMOT,NO,Quarterly Financial Results,2025-04-25,2025-04-25,0 Days Prior Notice,"Outcome of Board Meeting FORCE MOTORS LTD has informed the Exchange regarding Outcome of Board Meeting held on April 25,",25-Apr-2025 19:00:54
ANGELONE,NO,Quarterly Financial Results,2025-03-13,2025-04-16,34 Days Prior Notice,"Dividend Angel One Limited has informed the Exchange that Board of Directors at its meeting held on March 13, 2025, decl",2025-04-16 21:23:05
ANGELONE,NO,Quarterly Financial Results,2025-03-13,2025-04-16,34 Days Prior Notice,"Dividend Angel One Limited has informed the Exchange that Board of Directors at its meeting held on March 13, 2025, decl",2025-04-16 21:01:31
ANGELONE,NO,Quarterly Financial Results,2025-03-13,2025-04-16,34 Days Prior Notice,"Dividend Angel One Limited has informed the Exchange that Board of Directors at its meeting held on March 13, 2025, decl",2025-04-16 20:54:23
ICICIGI,NO,Quarterly Financial Results,2025-04-03,2025-04-15,12 Days Prior Notice,Analysts/Institutional Investor Meet/Con. Call Updates ICICI Lombard General Insurance Company Limited has informed the ,15-Apr-2025 19:24:46
ICICIPRULI,NO,Quarterly Financial Results,2025-04-15,2025-04-15,0 Days Prior Notice,Outcome of Board Meeting ICICI Prudential Life Insurance Company Limited has informed the Exchange regarding Outcome of ,15-Apr-2025 16:58:07
ICICIPRULI,NO,Quarterly Financial Results,2025-04-15,2025-04-15,0 Days Prior Notice,Outcome of Board Meeting ICICI Prudential Life Insurance Company Limited has informed the Exchange regarding Outcome of ,15-Apr-2025 16:56:34
MUTHOOTFIN,NO,Quarterly Financial Results,2025-04-08,2025-04-08,0 Days Prior Notice,"Updates Muthoot Finance Limited has informed the Exchange regarding ""the upcoming Board Meeting to consider declaration ",08-Apr-2025 13:55:58
RECLTD,NO,Quarterly Financial Results,2025-03-07,2025-03-26,19 Days Prior Notice,"Outcome of Board Meeting REC Limited has informed the Exchange regarding outcome of Board meeting held on March 07, 2025",26-Mar-2025 11:20:25
RECLTD,NO,Quarterly Financial Results,2025-02-18,2025-03-19,29 Days Prior Notice,General Updates Intimation of sale and transfer of project specific SPVs / subsidiaries of REC Limited.,19-Mar-2025 12:38:01
RECLTD,NO,Quarterly Financial Results,2025-02-18,2025-03-18,28 Days Prior Notice,General Updates Intimation of sale and transfer of project specific SPVs / subsidiaries of REC Limited.,18-Mar-2025 15:53:28
ANGELONE,NO,Quarterly Financial Results,2025-03-13,2025-03-13,0 Days Prior Notice,"Dividend Angel One Limited has informed the Exchange that Board of Directors at its meeting held on March 13, 2025, decl",2025-03-13 11:44:34
LODHA,NO,Qtr ended 31-DEC-2024,N/A,2025-03-11,N/A,N/A,11-MAR-2025
INOXWIND,NO,Qtr ended 31-DEC-2024,N/A,2025-03-10,N/A,N/A,10-MAR-2025
RECLTD,NO,Quarterly Financial Results,2025-02-06,2025-03-10,32 Days Prior Notice,"Dividend REC Limited has informed the Exchange Outcome of Board Meeting dated February 6, 2025.",10-Mar-2025 15:23:20
BDL,NO,Qtr ended 31-DEC-2024,2025-02-07,2025-03-07,28 Days Prior Notice,"Financial Result Updates  Bharat Dynamics Limited has submitted to the Exchange, the financial results for the period en",07-MAR-2025
RECLTD,NO,Quarterly Financial Results,2025-02-02,2025-03-07,33 Days Prior Notice,General Updates Intimation regarding receipt of ICAI Award for Excellence in Financial Reporting for the Financial Year ,07-Mar-2025 13:35:10
ABB,NO,Qtr ended 31-DEC-2024,N/A,2025-02-17,N/A,N/A,17-FEB-2025
GLENMARK,NO,Qtr ended 31-DEC-2024,2025-02-07,2025-02-14,7 Days Prior Notice,General Updates Glenmark Pharmaceuticals Limited has informed the Exchange about General Updates - Intimation under Regu,14-FEB-2025
MANAPPURAM,NO,Qtr ended 31-DEC-2024,2025-02-13,2025-02-14,1 Days Prior Notice,"Financial Result Updates  Manappuram Finance Limited has submitted to the Exchange, the financial results for the period",14-FEB-2025
MOTHERSON,NO,Qtr ended 31-DEC-2024,2025-01-24,2025-02-14,21 Days Prior Notice,General Updates Samvardhana Motherson International Limited has informed the Exchange regarding intimation under Regulat,14-FEB-2025
RVNL,NO,Qtr ended 31-DEC-2024,2025-01-31,2025-02-14,14 Days Prior Notice,Updates Intimation of Striking Off of Dighi Roha Rail Limited.,14-FEB-2025
BHARATFORG,NO,Qtr ended 31-DEC-2024,2025-02-07,2025-02-13,6 Days Prior Notice,Updates Bharat Forge Limited has informed the Exchange regarding 'Announcement Under Regulation 30 (LODR)-Analyst / Inve,13-FEB-2025
GODFRYPHLP,NO,Qtr ended 31-DEC-2024,2025-02-04,2025-02-13,9 Days Prior Notice,General Updates Godfrey Phillips India Limited has informed the Exchange about Intimation under Regulation 30.,13-FEB-2025
HINDALCO,YES ✅,Qtr ended 31-DEC-2024,2025-02-12,2025-02-13,1 Days Prior Notice,"Analysts/Institutional Investor Meet/Con. Call Updates Intimation regarding the investor meetings at Kotak Conference, t",13-FEB-2025
ASHOKLEY,NO,Qtr ended 31-DEC-2024,N/A,2025-02-12,N/A,N/A,12-FEB-2025
CROMPTON,NO,Qtr ended 31-DEC-2024,2025-01-09,2025-02-12,34 Days Prior Notice,Integrated Filing- Governance Intimation under Regulation 13(3) of SEBI (Listing Obligations and Disclosure Requirements,12-FEB-2025
HAL,NO,Qtr ended 31-DEC-2024,N/A,2025-02-12,N/A,N/A,12-FEB-2025
JUBLFOOD,NO,Qtr ended 31-DEC-2024,N/A,2025-02-12,N/A,N/A,12-FEB-2025
LUPIN,NO,Qtr ended 31-DEC-2024,N/A,2025-02-12,N/A,N/A,12-FEB-2025
MUTHOOTFIN,NO,Quarterly Financial Results,2025-02-12,2025-02-12,0 Days Prior Notice,"Financial Result Updates  Muthoot Finance Limited has submitted to the Exchange, the financial results for the period en",12-Feb-2025 15:45:00
MUTHOOTFIN,NO,Quarterly Financial Results,2025-02-12,2025-02-12,0 Days Prior Notice,"Financial Result Updates  Muthoot Finance Limited has submitted to the Exchange, the financial results for the period en",12-Feb-2025 15:41:58
NBCC,NO,Qtr ended 31-DEC-2024,2025-01-13,2025-02-12,30 Days Prior Notice,Updates NBCC (India) Limited has informed the Exchange regarding 'Intimation of Memorandum of Understanding between Sark,12-FEB-2025
PFC,NO,Qtr ended 31-DEC-2024,N/A,2025-02-12,N/A,N/A,12-FEB-2025
