date,category,event,detail,before_%,adj_%,after_%
2016-10-25,EARNINGS,Quarterly results,,-1.873108701442272,,-3.4971898294167025
2016-09-29,EARNINGS,Quarterly results,,-1.5152180943471372,,3.5759246513752396
2016-04-25,EARNINGS,Quarterly results,,-4.610488224001541,,-2.9452185740377668
2016-03-17,DIVIDEND,Interim Dividend - Rs 10.50/- Per Share (Purpose,Rs 10.50/share,1.5507230132248528,-0.5627570069248189,0.43307549357736175
2015-05-08,DIVIDEND,Dividend - Rs 10/- Per Share,Rs 10.00/share,4.4714346629247,2.17628407767525,-1.7702672142863696
2015-04-20,EARNINGS,Quarterly results,,-2.0677903751475712,,-1.1686298052326793
2015-01-19,EARNINGS,Quarterly results,,3.451702451209604,,1.0686229040531847
2014-10-13,EARNINGS,Quarterly results,,3.311039900413526,,-2.3854376968152735
2014-07-21,EARNINGS,Quarterly results,,3.732761621943803,,0.7968657876125995
2014-05-16,DIVIDEND,Dividend Rs. 9.50 Per Equity Share,Rs 9.50/share,9.252108642353463,2.453958338904605,4.4660619884553165
2014-04-21,EARNINGS,Quarterly results,,-0.9751813884265159,,-1.5214570114173709
2014-01-17,EARNINGS,Quarterly results,,3.0996818882861765,,-1.932750743568512
2013-10-15,EARNINGS,Quarterly results,,2.7043116362645447,,3.3360301611219167
2013-07-19,EARNINGS,Quarterly results,,3.7923541297206986,,-3.632110767011809
2013-05-10,DIVIDEND,Annual General Meeting/ Dividend Rs. 9 Per Equit,Rs 9.00/share,2.7802775073273223,-0.6295057878972887,2.7738484330516844
2013-04-17,EARNINGS,Quarterly results,,-0.7312958416144433,,2.416931751671303
2013-01-18,EARNINGS,Quarterly results,,7.179430271636655,,1.333040209097458
2012-10-15,EARNINGS,Quarterly results,,0.44546136310248396,,-0.9051899866182156
2012-07-20,EARNINGS,Quarterly results,,0.5775859047069343,,-0.22834591660703119
2012-05-31,DIVIDEND,Annual General Meeting And Dividend Rs.8.50 Per ,Rs 8.50/share,2.8221126608789504,-0.09204222297564124,2.2179692752249958
2012-05-04,EARNINGS,Quarterly results,,-2.4964837485759284,,-4.026423940032487
2012-01-20,EARNINGS,Quarterly results,,8.315160887977724,,0.2649035257016763
2011-10-15,EARNINGS,Quarterly results,,0.5486925131986675,,1.5231419766690069
2011-07-25,EARNINGS,Quarterly results,,1.7577408736615396,,-5.890028566682237
2011-05-05,DIVIDEND,Dividend-Rs.8/- Per Share,Rs 8.00/share,-1.4069790521875958,0.24270576031533153,-0.4684258824042109
2011-04-21,EARNINGS,Quarterly results,,1.8398872802701582,,-5.46318838360823
2011-01-21,EARNINGS,Quarterly results,,-1.467802697582532,,-6.840283994865148
2010-10-30,EARNINGS,Quarterly results,,0.26137732239648326,,1.4041392206352032
2010-07-27,EARNINGS,Quarterly results,,0.052239482511295954,,-2.444244796297057
2010-04-23,EARNINGS,Quarterly results,,0.36431368888183435,,-5.017475881038558
2010-01-22,EARNINGS,Quarterly results,,-5.122665910512525,,-0.8017973291266633
2009-10-29,EARNINGS,Quarterly results,,-6.360058839811289,,-2.0956375488286327
2009-10-07,EARNINGS,Quarterly results,,-3.2127327718953436,,3.9451651317023995
2009-07-24,EARNINGS,Quarterly results,,4.119660075841769,,-3.0468094357820497
2009-04-23,EARNINGS,Quarterly results,,1.6541872648845324,,2.6364980388922765
2009-01-22,EARNINGS,Quarterly results,,-0.5295890926390823,,16.48328346205399
2008-10-23,EARNINGS,Quarterly results,,-12.521995203267744,,18.400172670417582
2008-07-24,EARNINGS,Quarterly results,,14.341953761027138,,-4.356484166064489
2008-04-21,EARNINGS,Quarterly results,,7.086863523918074,,-1.9745802411956892
2008-01-17,EARNINGS,Quarterly results,,-1.0320916046326567,,-16.94115477845244
2007-10-18,EARNINGS,Quarterly results,,-1.8018641093957455,,1.7381559784851452
2007-09-10,EARNINGS,Quarterly results,,1.4121801492799069,,2.1504898608760703
2007-07-28,EARNINGS,Quarterly results,,-3.1662555575674656,,-3.7106006109413503
