symbol,broadcast_date,year,month_name,month_num,day_of_month,relating_to,from_date,to_date
MAXHEALTH,2024-11-05,2024,November,11,5,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
MAZDOCK,2024-11-05,2024,November,11,5,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
TITAN,2024-11-05,2024,November,11,5,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
ABB,2024-11-04,2024,November,11,4,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
IRFC,2024-11-04,2024,November,11,4,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
TIINDIA,2024-11-04,2024,November,11,4,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
ABCAPITAL,2024-10-31,2024,October,10,31,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
LT,2024-10-31,2024,October,10,31,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
ADANIENT,2024-10-30,2024,October,10,30,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
APLAPOLLO,2024-10-30,2024,October,10,30,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
BIOCON,2024-10-30,2024,October,10,30,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
CONCOR,2024-10-30,2024,October,10,30,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
DABUR,2024-10-30,2024,October,10,30,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
PRESTIGE,2024-10-30,2024,October,10,30,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
TATAPOWER,2024-10-30,2024,October,10,30,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
VOLTAS,2024-10-30,2024,October,10,30,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
ADANIPORTS,2024-10-29,2024,October,10,29,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
AMBUJACEM,2024-10-29,2024,October,10,29,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
CANBK,2024-10-29,2024,October,10,29,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
CIPLA,2024-10-29,2024,October,10,29,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
KAYNES,2024-10-29,2024,October,10,29,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
MARICO,2024-10-29,2024,October,10,29,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
MARUTI,2024-10-29,2024,October,10,29,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
POWERINDIA,2024-10-29,2024,October,10,29,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
SBICARD,2024-10-29,2024,October,10,29,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
