SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"NTPC","347.20","349.15","344.15","347.25","348.50","-","1.25","0.36","8575793","297.44","414.40","315.55","-4.73","2.03"
"ITC","283.00","283.95","278.80","282.70","281.20","-","-1.5","-0.53","9858768","276.91","427.00","275.00","-3.86","-33.06"
"SUNPHARMA","1,952.10","1,966.50","1,938.20","1,956.40","1,960.00","-","3.6","0.18","1412579","276.57","1,966.50","1,548.00","6.62","15.82"
"ASIANPAINT","2,695.00","2,720.00","2,680.50","2,691.40","2,697.00","-","5.6","0.21","1000078","269.52","2,985.70","2,115.00","-1.31","13.54"
"DRREDDY","1,224.70","1,230.00","1,203.00","1,223.10","1,206.90","-","-16.2","-1.32","2182513","264.48","1,414.90","1,148.40","-5.13","-4.16"
"ADANIPORTS","1,840.00","1,857.40","1,833.00","1,844.00","1,845.60","-","1.6","0.09","1372166","253.11","1,891.10","1,290.50","0.56","27.24"
"TITAN","4,644.20","4,691.70","4,629.20","4,643.40","4,687.10","-","43.7","0.94","530094","247.44","4,691.70","3,303.10","6.05","36.53"
"JSWSTEEL","1,259.00","1,271.40","1,252.00","1,257.00","1,268.80","-","11.8","0.94","1941639","245.91","1,328.00","1,017.40","-1.47","22.61"
"NESTLEIND","1,451.50","1,464.40","1,447.00","1,446.30","1,456.00","-","9.7","0.67","1657756","240.98","1,498.10","1,084.70","2.91","17.77"
"HINDUNILVR","2,139.70","2,147.70","2,127.50","2,139.70","2,141.00","-","1.3","0.06","1032417","220.89","2,750.00","2,022.50","-2.44","-13.14"
"MAXHEALTH","1,102.40","1,105.30","1,084.60","1,102.40","1,097.00","-","-5.4","-0.49","2006432","219.68","1,301.70","903.00","0.21","-9.95"
"POWERGRID","289.00","290.40","284.45","288.70","286.35","-","-2.35","-0.81","7517060","215.79","324.95","250.00","-2.02","-3.59"
"BEL","408.15","410.95","406.50","408.15","410.10","-","1.95","0.48","5242231","214.22","473.45","361.20","-3.94","2.54"
"GRASIM","3,150.10","3,195.10","3,135.60","3,143.80","3,170.00","-","26.2","0.83","659160","208.82","3,246.00","2,502.50","0.65","15.61"
"COALINDIA","429.95","433.20","429.15","429.40","431.00","-","1.6","0.37","4612497","199.04","491.25","368.65","-4.5","11.43"
"WIPRO","176.11","177.50","174.50","176.38","174.80","-","-1.58","-0.9","11350578","198.96","273.10","169.00","-3.32","-32.86"
"TMPV","336.10","337.65","331.80","336.45","333.90","-","-2.55","-0.76","5847490","195.31","739.70","294.30","-7.12","-51.43"
"CIPLA","1,442.10","1,443.90","1,414.00","1,441.60","1,433.00","-","-8.6","-0.6","1341452","191.98","1,673.00","1,165.70","6.01","-2.77"
"APOLLOHOSP","8,934.00","8,945.50","8,880.00","8,905.00","8,925.00","-","20","0.22","200394","178.56","9,009.00","6,696.50","5.13","23.03"
"HDFCLIFE","564.65","564.80","557.50","564.65","561.50","-","-3.15","-0.56","2529706","141.87","815.00","543.00","-5.13","-25.36"
"TRENT","2,930.00","2,934.40","2,883.10","2,925.90","2,895.20","-","-30.7","-1.05","480354","139.51","3,782.67","2,183.67","-9.69","-19.22"
"TATACONSUM","1,093.00","1,096.50","1,079.90","1,091.90","1,080.10","-","-11.8","-1.08","1241515","134.69","1,282.70","1,007.20","-2.83","-0.94"
"SBILIFE","1,834.50","1,835.00","1,816.20","1,824.50","1,825.60","-","1.1","0.06","583351","106.54","2,132.00","1,700.40","1.41","1.16"
